book_title,book_authors,book_format,book_isbn,book_pages,book_rating,book_rating_count
The Hunger Games,Suzanne Collins,Hardcover,978315741123,374 ,4.33,5519135
Harry Potter and the Order of the Phoenix,J.K. Rowling|Mary GrandPré,Paperback,978315741124,870 ,4.48,2041594
To Kill a Mockingbird,Harper Lee,Paperback,978315741125,324 ,4.27,3745197
Pride and Prejudice,Jane Austen|Anna Quindlen|Mrs. Oliphant|George Saintsbury|Mark Twain|A.C. Bradley|Walter A. Raleigh|Virginia Woolf,Paperback,978315741126,279 ,4.25,2453620
Twilight,Stephenie Meyer,Paperback,978315741127,498 ,3.58,4281268
The Book Thief,Markus Zusak,Hardcover,978315741128,552 ,4.36,1485632
The Chronicles of Narnia,C.S. Lewis|Pauline Baynes,Paperback,978315741129,767 ,4.25,437829
Animal Farm,George Orwell,Paperback,978315741130,122 ,3.9,2235084
Gone with the Wind,Margaret Mitchell,Paperback,978315741131,1037 ,4.29,969181
J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,Mass Market Paperback,978315741132,1728 ,4.59,99793
The Fault in Our Stars,John Green,Hardcover,978315741133,313 ,4.24,2881648
The Hitchhiker's Guide to the Galaxy,Douglas Adams,Paperback,978315741134,193 ,4.21,1155911
The Giving Tree,Shel Silverstein,Hardcover,978315741135,64 ,4.37,789681
Wuthering Heights,Emily Brontë|Richard J. Dunn|David Timson|Charlotte Brontë|Ruth Golding|Robert Heindel,Paperback,978315741136,464 ,3.84,1121100
The Da Vinci Code,Dan Brown,Paperback,978315741137,481 ,3.81,1668594
Memoirs of a Geisha,Arthur Golden,Hardcover,978315741138,434 ,4.09,1525851
Alice's Adventures in Wonderland & Through the Looking-Glass,Lewis Carroll|John Tenniel|Martin Gardner,Mass Market Paperback,978315741139,239 ,4.07,411153
The Picture of Dorian Gray,Oscar Wilde|Jeffrey Eugenides,Paperback,978315741140,367 ,4.06,775701
Les Misérables,Victor Hugo|Lee Fahnestock|Norman MacAfee,Mass Market Paperback,978315741141,1463 ,4.15,591874
Divergent,Veronica Roth,Paperback,978315741142,487 ,4.22,2493519
Jane Eyre,Charlotte Brontë|Michael Mason,Paperback,978315741143,507 ,4.11,1381404
Romeo and Juliet,William Shakespeare|Barbara A. Mowat|Paul Werstine,Mass Market Paperback,978315741144,283 ,3.74,1818262
Lord of the Flies,William Golding,Paperback,978315741145,182 ,3.66,1840595
The Alchemist,Paulo Coelho|Alan R. Clarke|Özdemir İnce,Paperback,978315741146,197 ,3.84,1644387
Crime and Punishment,Fyodor Dostoyevsky|David McDuff,Paperback,978315741147,671 ,4.2,507522
Ender's Game,Orson Scott Card,Mass Market Paperback,978315741148,324 ,4.3,965351
The Perks of Being a Wallflower,Stephen Chbosky,Paperback,978315741149,213 ,4.2,1063711
City of Bones,Cassandra Clare|Franca Fritz|Heinrich Koop|Franka Fritz,Hardcover,978315741150,485 ,4.11,1383479
The Help,Kathryn Stockett,Hardcover,978315741151,465 ,4.46,1790905
The Great Gatsby,F. Scott Fitzgerald,Paperback,978315741152,180 ,3.9,3141842
The Time Traveler's Wife,Audrey Niffenegger,ebook,978315741153,500 ,3.96,1408080
Charlotte's Web,E.B. White|Garth Williams|Rosemary Wells,Paperback,978315741154,184 ,4.16,1199733
Anne of Green Gables,L.M. Montgomery,Paperback,978315741155,320 ,4.24,599365
Of Mice and Men,John Steinbeck,Paperback,978315741156,112 ,3.85,1662561
Dracula,Bram Stoker|Nina Auerbach|David J. Skal,Paperback,978315741157,488 ,3.98,775448
Brave New World,Aldous Huxley,Paperback,978315741158,288 ,3.98,1203529
One Hundred Years of Solitude,Gabriel García Márquez|Gregory Rabassa,Hardcover,978315741159,417 ,4.05,630758
The Little Prince,Antoine de Saint-Exupéry|Richard Howard|Dom Marcos Barbosa|Melina Karakosta,Paperback,978315741160,93 ,4.29,1022243
The Princess Bride,William Goldman,Paperback,978315741161,398 ,4.26,685278
The Secret Garden,Frances Hodgson Burnett,Hardcover,978315741162,331 ,4.12,763910
The Catcher in the Rye,J.D. Salinger,Paperback,978315741163,277 ,3.8,2343013
A Thousand Splendid Suns,Khaled Hosseini,Hardcover,978315741164,372 ,4.35,961180
A Wrinkle in Time,Madeleine L'Engle,Paperback,978315741165,211 ,4.02,806439
Fahrenheit 451,Ray Bradbury|Alfredo Crespo,Mass Market Paperback,978315741166,175 ,3.98,1321751
A Game of Thrones,George R.R. Martin,Mass Market Paperback,978315741167,848 ,4.45,1657040
The Lightning Thief,Rick Riordan,Paperback,978315741168,375 ,4.24,1623502
The Adventures of Huckleberry Finn,Mark Twain|Guy Cardwell|John Seelye,Paperback,978315741169,327 ,3.81,1060707
The Lovely Bones,Alice Sebold,Mass Market Paperback,978315741170,328 ,3.79,1786839
Where the Wild Things Are,Maurice Sendak,Paperback,978315741171,37 ,4.22,707526
Green Eggs and Ham,Dr. Seuss,Hardcover,978315741172,62 ,4.3,519703
Harry Potter and the Sorcerer's Stone,J.K. Rowling|Mary GrandPré,Hardcover,978315741173,320 ,4.46,5588580
Life of Pi,Yann Martel,Paperback,978315741174,460 ,3.89,1149762
A Tale of Two Cities,Charles Dickens|Richard Maxwell|Hablot Knight Browne,Paperback,978315741175,489 ,3.82,725258
The Outsiders,S.E. Hinton,Mass Market Paperback,978315741176,192 ,4.08,765065
Water for Elephants,Sara Gruen,Paperback,978315741177,335 ,4.08,1199696
The Odyssey,Homer|Robert Fagles|Bernard Knox,Paperback,978315741178,541 ,3.74,766893
Lolita,Vladimir Nabokov|Craig Raine,Paperback,978315741179,417 ,3.89,565155
Slaughterhouse-Five,Kurt Vonnegut,Paperback,978315741180,275 ,4.07,977825
Catch-22,Joseph Heller,Paperback,978315741181,453 ,3.98,639139
Frankenstein,Mary Wollstonecraft Shelley|Percy Bysshe Shelley|Maurice Hindle,Paperback,978315741182,273 ,3.77,973406
The Kite Runner,Khaled Hosseini,Paperback,978315741183,371 ,4.27,2077166
The Pillars of the Earth,Ken Follett,Paperback,978315741184,973 ,4.3,552602
The Stand,Stephen King|Bernie Wrightson,Hardcover,978315741185,1153 ,4.34,523830
The Giver,Lois Lowry,Paperback,978315741186,208 ,4.12,1452412
Watership Down,Richard  Adams,Mass Market Paperback,978315741187,478 ,4.06,331158
The Handmaid's Tale,Margaret Atwood,Paperback,978315741188,311 ,4.09,944897
The Adventures of Sherlock Holmes,Arthur Conan Doyle,Paperback,978315741189,339 ,4.3,207674
My Sister's Keeper,Jodi Picoult,Paperback,978315741190,423 ,4.06,955234
One Flew Over the Cuckoo's Nest,Ken Kesey,Mass Market Paperback,978315741191,325 ,4.19,543387
The Bell Jar,Sylvia Plath|Reinhard Kaiser,Paperback,978315741192,244 ,3.99,491544
Outlander,Diana Gabaldon,Mass Market Paperback,978315741193,850 ,4.22,668422
The Girl with the Dragon Tattoo,Stieg Larsson|Reg Keeland,Hardcover,978315741194,465 ,4.13,2182830
Rebecca,Daphne du Maurier,ebook,978315741195,449 ,4.21,366815
A Tree Grows in Brooklyn,Betty  Smith,Paperback,978315741196,496 ,4.25,333330
Matilda,Roald Dahl|Quentin Blake,Paperback,978315741197,240 ,4.29,497665
The Color Purple,Alice Walker,Paperback,978315741198,295 ,4.18,440592
The Fellowship of the Ring,J.R.R. Tolkien,Paperback,978315741199,398 ,4.35,2021782
Little Women,Louisa May Alcott,Paperback,978315741200,449 ,4.05,1429608
The Road,Cormac McCarthy,Hardcover,978315741201,241 ,3.96,612741
Angela's Ashes,Frank McCourt,Paperback,978315741202,452 ,4.09,466398
A Clockwork Orange,Anthony Burgess,Paperback,978315741203,212 ,3.99,508614
